type,name,weight_kg_m,depth_mm,width_mm,web_thick_mm,flange_thick_mm,area_cm2,ix_cm4,iy_cm4,rx_cm,ry_cm,zx_cm3,zy_cm3
WF,WF 100x50,9.3,100,50,5,7,11.85,187,14.8,3.98,1.12,37.5,5.91
H-Beam,H-Beam 100x100,17.2,100,100,6,8,21.9,383,134,4.18,2.47,76.6,26.7
H-Beam,H-Beam 125x125,23.8,125,125,6.5,9,30.31,847,293,5.29,3.11,136,47
H-Beam,H-Beam 150x150,31.5,150,150,7,10,40.14,1640,563,6.39,3.75,219,75.1
HSS,HSS 100x100x4.5,13.59,100,100,4.5,4.5,17.31,263,263,3.9,3.9,52.6,52.6
HSS,HSS 125x125x6,22.56,125,125,6,6,28.73,680,680,4.86,4.86,109,109
HSS,HSS 150x150x6,27.31,150,150,6,6,34.73,1210,1210,5.89,5.89,161,161
WF,WF 125x60,13.2,125,60,6,8,16.84,413,29.2,4.95,1.32,66.1,9.73
WF,WF 150x75,14,150,75,5,7,17.85,666,49.5,6.11,1.66,88.8,13.2
WF,WF 175x90,18.1,175,90,5,8,23.04,1210,89.6,7.26,1.97,138,19.9
WF,WF 200x100,21.3,200,100,5.5,8,27.16,1840,134,8.24,2.22,184,26.8
WF,WF 250x125,29.6,250,125,6,9,37.66,4050,294,10.4,2.79,324,47
WF,WF 300x150,36.7,300,150,6.5,9,46.78,7210,508,12.4,3.29,481,67.7
WF,WF 350x175,41.4,350,175,7,11,52.68,11100,792,14.5,3.88,633,90.5
WF,WF 400x200,66,400,200,8,13,84.12,23700,1740,16.8,4.54,1190,174
